index,Common Name,Endangered Animals of Area,Scientific Name:,Group:,Status/Date Listed as Endangered:,Area(s) Where Listed As Endangered:,Other Names and/or Listed subspecies:
228,Nilgiri Tahr,Endangered Mammals of Asia,Nilgiritragus hylocrius,Mammals,EN-IUCN: 2008,India,Hemitragus hylocrius
229,North Pacific Right Whale,Endangered Mammals of Asia,Balaena japonica,Mammals,EN-IUCN: 2008,"Canada (British Columbia), China, Japan, Korea, Mexico (Baja California), Russia, Taiwan, United States and Hawaii",Eubalaena japonica
230,Northern Chinese Flying Squirrel,Endangered Mammals of Asia,Aeretes melanopterus,Mammals,NT-IUCN: 2008,China,Groove-toothed Flying Squirrel
231,Northern Fur Seal,Endangered Mammals of Asia,Callorhinus ursinus,Mammals,VU-IUCN: 2008,"Arkansas, California, Canada, China, Japan, Korea, Mexico, Oregon, Russia, Taiwan, Washington",NA
232,Northern Pig-tailed Macaque,Endangered Mammals of Asia,Macaca leonina,Mammals,VU-IUCN: 2008,"Bangladesh, Cambodia, China, India, Laos, Myanmar, Thailand, Vietnam","M. adusta, M. andamanensis, Macaca blythii, M. coininus, M. indochinensis, M. insulana"
233,Nubian Ibex,Endangered Mammals of Asia,Capra nubiana,Mammals,VU-IUCN: 2008,"Egypt, Israel, Jordan, Oman, Saudi Arabia, Sudan, Syria, Yemen",NA
234,Oliver's Warty Pig,Endangered Mammals of Asia,Sus oliveri,Mammals,EN-IUCN: 2008,Philippines,Mindoro Warty Pig
235,Otter Civet,Endangered Mammals of Asia,Cynogale bennettii,Mammals,EN-IUCN: 2008,"Brunei Darussalam, Indonesia, Malaysia, Thailand",Sunda Otter Civet
236,Pagai Spiny Rat,Endangered Mammals of Asia,Maxomys pagensis,Mammals,EN-IUCN: 2008,Indonesia,Mentawai Archipelago Maxomys
237,Palawan Bearded Pig,Endangered Mammals of Asia,Sus ahoenobarbus,Mammals,VU-IUCN: 2008,Philippines,"S. balabacensis, S. barbatus ssp. ahoenobarbus, S. calamianensis, S. palavensis"
238,Palawan Binturong,Endangered Mammals of Asia,Arctictis binturong,Mammals,VU-IUCN: 2008,"Bangladesh, Bhutan, Brunei Darussalam, Cambodia, China, India, Indonesia, Laos, Malaysia, Myanmar, Nepal, Philippines, Thailand, Vietnam",Bearcat
239,Pallas's Cat,Endangered Mammals of Asia,Otocolobus manul,Mammals,NT-IUCN: 2008,"Afghanistan, Armenia, Azerbaijan, China, India, Iran, Kazakhstan, Kyrgyzstan, Mongolia, Pakistan, Russia, Tajikistan, Turkmenistan, Uzbekistan",Manul
240,Pallid Large-footed Myotis,Endangered Mammals of Asia,Myotis macrotarsus,Mammals,NT-IUCN: 2008,"Malaysia, Philippines",Philippine Large-footed Myotis
241,Phayre's Leaf-monkey,Endangered Mammals of Asia,Trachypithecus phayrei,Mammals,EN-IUCN: 2008,"Bangladesh, China, India, Laos, Myanmar, Thailand, Vietnam",Phayre's Langur
242,Philippine Brown Deer,Endangered Mammals of Asia,Rusa marianna,Mammals,VU-IUCN: 2008,"Federated States of Micronesia, Guam, Northern Mariana Islands, Philippines",Cervus mariannus
243,Philippine Dawn Bat,Endangered Mammals of Asia,Eonycteris robusta,Mammals,NT-IUCN: 2008,Philippines,Philippine Nectar Bat
244,Philippine Pangolin,Endangered Mammals of Asia,Manis culionensis,Mammals,NT-IUCN: 2008,Philippines,"Palawan Pangolin, Balintong"
245,Phillipine Porcupine,Endangered Mammals of Asia,Hystrix pumila,Mammals,VU-IUCN: 2008,Philippines,"Indonesian Porcupine, Palawan Porcupine"
246,Pig-tailed Langur,Endangered Mammals of Asia,Simias concolor,Mammals,CR-IUCN: 2008,Indonesia,Pig-tailed Snub-nosed Monkey
247,Pileated Gibbon,Endangered Mammals of Asia,Hylobates pileatus,Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2008",Southeast Asia,"Capped Gibbon, Crowned Gibbon"
248,Polar Bear,Endangered Mammals of Asia,Ursus maritimus,Mammals,VU-IUCN: 2008,"Alaska, Canada, Denmark, Greenland, Norway, Russia","Ice Bear, Thalarctos maritimus"
249,Pond Bat,Endangered Mammals of Asia,Myotis dasycneme,Mammals,NT-IUCN: 2008,"Asia, Europe",Pond Myotis
250,Proboscis Monkey,Endangered Mammals of Asia,Nasalis larvatus,Mammals,"EN-IUCN: 2008EN-US FWS: June 14, 1976",Borneo,Long-nosed Monkey
251,Przewalski's Horse,Endangered Mammals of Asia,Equus przewalskii,Mammals,"EN-US FWS: June 14, 1976CR-IUCN: 2008","China, Mongolia","Asian Wild Horse, Equus ferus, Mongolian Wild Horse, Takh"
252,Purple-faced Langur,Endangered Mammals of Asia,Trachypithecus vetulus,Mammals,EN-IUCN: 2008,Sri Lanka,Purple-faced Leaf Monkey
253,Pygmy Hog,Endangered Mammals of Asia,Porcula salvania,Mammals,"EN-US FWS: June 2, 1970CR-IUCN: 2008","Bhutan, India, Nepal, Sikkim",Sus salvanius
254,Pygmy Slow Loris,Endangered Mammals of Asia,Nycticebus pygmaeus,Mammals,VU-IUCN: 2008,"Cambodia, China, Laos, Vietnam","N. intermedius, Lesser Slow Loris, Pygmy Loris"
255,Rajah Spiny Rat,Endangered Mammals of Asia,Maxomys rajah,Mammals,VU-IUCN: 2008,"Brunei Darussalam, Indonesia, Malaysia, Thailand","Rajah Sundaic Maxomys, Brown Spiny Rat"
256,Red Deer,Endangered Mammals of Asia,Cervus elaphus,Mammals,"EN-US FWS: C. e. barbarus, C. e. hanglu, C. e. macneilii, C. e. wacllichi - June 2, 1970; C. e. bactrianus, C. e. corsicanus, C. e. yarkandensis - June 25, 1979","Afghanistan, Algeria, Bhutan, China, France, India, Morocco, Pakistan, Tunisia","7 ssp: Bactrian D. (C. e. bactrianus), Barbary Stag (C. e. barbarus), Corsican Red D. (C. e. corsicanus), Kashmir Stag (C. e. hanglu), McNeill's D. (C. e. macneilii), Shou (C. e. wallichi), Yarkand D. (C. e. yarkandensis)"
257,Red Panda,Endangered Mammals of Asia,Ailurus fulgens,Mammals,VU-IUCN: 2008,"Bhutan, China, India, Laos, Nepal","Lesser Panda, Red Cat-bear, Tolai Hare"
258,Rickett's Big-footed Bat,Endangered Mammals of Asia,Myotis pilosus,Mammals,NT-IUCN: 2008,"China, Laos, Vietnam","Myotis pilosus, Myotis ricketti, Rickett's Big-footed Myotis"
259,Ridley's Myotis,Endangered Mammals of Asia,Myotis ridleyi,Mammals,NT-IUCN: 2008,"Indonesia, Malaysia, Thailand",Ridley's Bat
260,Roach's Mouse-tailed Dormouse,Endangered Mammals of Asia,Myomimus roachi,Mammals,VU-IUCN: 2008,"Bulgaria, Greece, Turkey",Ground Dormouse
261,Royle's Mountain Vole,Endangered Mammals of Asia,Alticola roylei,Mammals,NT-IUCN: 2008,India,NA
262,Russian Desman,Endangered Mammals of Asia,Desmana moschata,Mammals,VU-IUCN: 2008,"Kazakhstan, Russia, Ukraine",NA
263,Rusty-spotted Cat,Endangered Mammals of Asia,Prionailurus rubiginosus,Mammals,VU-IUCN: 2008,"India, Sri Lanka",NA
